week,year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,weekly_income,active_forked_accounts,total_forked_accounts_created,quarterly_reinvestment
1,1,121795.67017767948,90563.90464785532,90648.30878400753,0.0,303007.88360954233,3007.8836095423326,0,0,0.0
2,1,123750.31605986845,91445.20831648837,91097.46038243639,0.0,306292.9847587932,3285.101149250878,0,0,0.0
3,1,125551.60219664319,92241.37317776195,91848.61406422502,0.0,309641.58943863015,3348.604679836955,0,0,0.0
4,1,128965.28186931234,94839.79967696137,92126.37077114478,0.0,315931.45231741853,6289.8628787883135,0,0,0.0
5,1,130078.88519690785,97224.93490821047,92423.1426124763,0.0,319726.96271759464,3795.5104001761456,0,0,0.0
6,1,131023.02271548906,98141.76888881494,92889.08282346535,0.0,322053.87442776933,2326.911710174718,0,0,0.0
7,1,134090.17353415882,98141.76888881494,93384.54323217344,0.0,325616.4856551472,3562.611227377858,0,0,0.0
8,1,136117.25462623805,98991.59120372678,93850.6618225106,0.0,328959.50765247544,3343.021997328222,0,0,0.0
9,1,139434.54043503143,99675.10103308638,94685.44164937222,0.0,333795.08311749005,4835.5754650146,0,0,0.0
10,1,141595.27604607245,101189.02261262955,95169.03496838083,0.0,337953.3336270828,4158.250509592796,0,0,0.0
11,1,143644.29165876794,103950.03217339364,95498.8121730466,0.0,343093.1360052082,5139.802378125339,0,0,0.0
12,1,146753.2812732479,103481.17577208516,96389.37650643785,0.0,346623.8335517709,3530.6975465627415,0,0,0.0
13,1,148385.69696878534,104470.22080147295,96389.37650643785,0.0,349245.29427669616,2621.460724925224,0,0,0.0
14,1,149539.99779664516,106222.08546857428,96317.45727416324,0.0,352079.54053938267,2834.2462626865276,0,0,0.0
15,1,151712.47323852818,108129.79478335934,97584.75286986597,0.0,357427.0208917535,5347.480352370828,0,0,0.0
16,1,155556.29455588342,110009.49465287062,98917.52230902553,0.0,364483.31151777954,7056.290626026077,0,0,0.0
17,1,161663.57640877197,111116.50772022804,99405.13571011277,0.0,372185.2198391128,7701.908321333222,0,0,0.0
18,1,168417.5905658516,114061.74289963045,100261.56111140805,0.0,382740.8945768901,10555.67473777735,0,0,0.0
19,1,172924.12746789632,115309.55730134777,100571.97381026227,0.0,388805.6585795064,6064.764002616238,0,0,0.0
20,1,180048.74303476512,116068.96249767549,101508.4508274191,0.0,397626.15635985974,8820.497780353377,0,0,0.0
21,1,182081.3690761954,117275.14751101182,102385.87669353429,0.0,401742.3932807415,4116.236920881786,0,0,0.0
22,1,186299.76183827332,118987.91660258471,102842.54686968627,0.0,408130.2253105443,6387.832029802783,0,0,0.0
23,1,189189.06861420616,120330.8985629412,103121.37551240894,0.0,412641.3426895563,4511.117379012008,0,0,0.0
24,1,191661.89445821723,120953.19951965834,104065.3563835094,0.0,416680.45036138495,4039.107671828654,0,0,0.0
25,1,193808.9951687631,121676.96825519792,105385.71546449093,0.0,420871.67888845195,4191.22852706698,0,0,0.0
26,1,196578.24428216144,124583.90890071866,105385.71546449093,0.0,426547.868647371,5676.189758919083,0,0,0.0
27,1,202094.36005610332,127875.38233539659,105669.62776615072,0.0,435639.3701576507,9091.501510279611,0,0,0.0
28,1,205485.89452142353,128762.58827065994,106193.1558362142,0.0,440441.63862829766,4802.268470647023,0,0,0.0
29,1,205222.92145572702,130972.61784718587,106759.87023945285,0.0,442955.40954236576,2513.7709140680854,0,0,0.0
30,1,207865.328864662,131813.9975391401,107282.91675008867,0.0,446962.2431538908,4006.8336115250418,0,0,0.0
31,1,209463.3321782126,131813.9975391401,107592.69705464826,0.0,448870.02677200094,1907.7836181101918,0,0,0.0
32,1,218072.945169339,133243.9054044631,107592.69705464826,0.0,458909.5476284503,10039.520856449375,0,0,0.0
33,1,120000.0,134104.96061052347,109123.86146258157,101192.72632678482,464421.54839988984,5512.000771439522,1,1,0.0
34,1,121959.18455300336,137548.1356869786,109735.4922697692,102006.05928320289,471248.87179295404,6827.323393064192,1,1,0.0
35,1,124890.70939708117,138343.3019119629,110561.56624862987,104619.5194304249,478415.09698809887,7166.225195144778,1,1,0.0
36,1,126706.6346846636,140333.32735600104,110970.59722912252,106344.03468027349,484354.59395006066,5939.496961961808,1,1,0.0
37,1,128547.20803810077,141820.13840266524,112325.82208718828,106960.20096524282,489653.36949319707,5298.775543136484,1,1,0.0
38,1,129673.0832368893,144452.08448591386,112933.09119991455,107969.84168884579,495028.10061156354,5374.7311183664,1,1,0.0
39,1,133303.53009588568,145798.63075890444,113911.89380087102,109654.91139654374,502668.9660522049,7640.865440641415,1,1,0.0
40,1,135507.47763302433,147225.2868883427,113911.89380087102,111211.24281547891,507855.90113771695,5186.935085512085,1,1,0.0
41,1,137729.56277118847,149894.45837522775,114933.27440254789,112915.84931733951,515473.14486630354,7617.243728586643,1,1,0.0
42,1,139971.08889118495,153623.03906903433,115980.71736322723,114455.63645152347,524030.48177496996,8557.336908666364,1,1,0.0
43,1,139293.93749313592,153109.81061810566,115980.71736322723,116088.58355708921,524473.049031558,442.5672565880359,1,1,0.0
44,1,142620.48339020944,155501.0478774821,116620.44737382891,118030.66111226389,532772.6397537843,8299.590722226283,1,1,0.0
45,1,144942.75296968024,158403.27530093706,117018.11077390643,121133.0832886602,541497.2223331839,8724.582579399612,1,1,0.0
46,1,148054.19280973182,160908.69772346446,118028.84619253807,122115.65006547829,549107.3867912126,7610.164458028704,1,1,0.0
47,1,150580.43065009182,163733.73089902883,119615.64518183067,123459.32957509551,557389.1363060469,8281.74951483421,1,1,0.0
48,1,153058.3247350533,163733.73089902883,120258.73352227458,125625.38734342369,562676.1764997804,5287.040193733557,1,1,0.0
49,1,156362.10527653855,164910.47636160767,121342.17030069185,126902.95939922059,569517.7113380586,6841.534838278286,1,1,0.0
50,1,157599.68591029872,166783.96066698097,122390.85801822966,130036.30062884533,576810.8052243546,7293.093886295997,1,1,0.0
51,1,159893.49373360781,169454.44048198065,124060.46438887947,131214.67106177108,584623.0696662391,7812.264441884349,1,1,0.0
52,1,162409.61500748777,170585.64575687685,125569.43726470893,134613.52469518792,593178.2227242615,8555.15305802246,1,1,0.0
53,2,164214.0958646077,170585.64575687685,126214.18786490252,135904.39487581945,596918.3243622065,3740.1016379450157,1,1,0.0
54,2,168588.5042808846,173493.79941351956,127782.99052069931,136711.5732717099,606576.8674868133,9658.543124606858,1,1,0.0
55,2,171067.98700130914,175145.35506728638,128913.19036831782,138165.00894781746,613291.5413847308,6714.67389791743,1,1,0.0
56,2,173432.8840484161,174998.89219734928,129254.65140133801,142047.02983178681,619733.4574788902,6441.916094159413,1,1,0.0
57,2,178359.78881636797,176808.5112061836,130389.95842601007,143963.95574979958,629522.2141983613,9788.756719471005,1,1,0.0
58,2,185847.67176180502,179863.86752122172,130959.57080890321,147813.68391747668,644484.7940094066,14962.579811045405,1,1,0.0
59,2,187528.0118510257,181514.53783091446,131959.4881901742,150461.70672904068,651463.744601155,6978.950591748378,1,1,0.0
60,2,186815.32651842147,183351.31212691645,132900.8567044962,151758.18430653063,654825.6796563647,3361.9350552097394,1,1,0.0
61,2,189764.93056877836,185302.52437880772,133359.65842618773,153623.05940682016,662050.1727805939,7224.493124229197,1,1,0.0
62,2,194975.19123637062,190483.07558823953,134463.82708497506,153579.00289710093,673501.0968066861,11450.924026092162,1,1,0.0
63,2,198192.64264779424,193292.79541743832,135522.7009695467,156502.58757885837,683510.7266136376,10009.629806951514,1,1,0.0
64,2,201412.25739302393,195365.61097266435,136655.0209481825,160640.916476708,694073.8057905788,10563.079176941126,1,1,0.0
65,2,204433.87208054104,198189.27088238698,137326.98404988914,164741.63732023866,704691.7643330558,10617.95854247703,1,1,0.0
66,2,210177.5295011742,200388.02029120538,139010.7579942349,166530.6748389104,716106.982625525,11415.218292469066,1,1,0.0
67,2,213258.04535963965,203568.78169039052,140224.2266243851,168525.7839693095,725576.8376437247,9469.85501819988,1,1,0.0
68,2,216505.41494145096,203148.4184885416,142164.5047301248,170780.46752413874,732598.8056842561,7021.968040531286,1,1,0.0
69,2,219894.5126967489,208134.14641390118,142781.16040661672,172130.29437326,742940.1138905268,10341.308206270696,1,1,0.0
70,2,120000.0,210330.90044082902,143204.89040367768,279205.79493816127,752741.585782668,9801.471892141206,2,2,0.0
71,2,124336.51573928811,212593.8989818893,144394.8395189752,281383.3752899496,762708.6295301022,9967.043747434178,2,2,0.0
72,2,126136.64026490712,214898.7895605096,145098.41409836474,284395.83690479305,770529.6808285746,7821.051298472318,2,2,0.0
73,2,128125.54373279373,215966.72804162922,145558.44742652928,288345.47673743597,777996.1959383881,7466.515109813697,2,2,0.0
74,2,131751.31834523045,219777.74912557338,146837.49427940595,292348.560749868,790715.1225000778,12718.926561689543,2,2,0.0
75,2,133686.24324150474,221952.57255020487,146638.1014891831,298401.682447083,800678.5997279757,9963.477227897953,2,2,0.0
76,2,134708.7033993109,224202.26363831433,148486.38326889058,304378.9521404735,811776.3024469893,11097.702719013721,2,2,0.0
77,2,138396.2697199734,225461.03708130965,149280.14638306818,309864.5709171721,823002.0241015233,11225.721654533962,2,2,0.0
78,2,140375.2923964703,227646.25941831197,150019.8603988764,313124.12189844757,831165.5341121063,8163.510010582863,2,2,0.0
79,2,142412.6751298621,230160.32543274102,150813.57789004507,318565.6832013903,841952.2616540384,10786.727541932229,2,2,0.0
80,2,148065.8165291325,232482.13414187977,152132.583577856,324058.7481512879,856739.2824001561,14787.020746117683,2,2,0.0
81,2,151939.31665152416,238637.17022766115,153944.57496568497,328385.1550773685,872906.2169222387,16166.934522082527,2,2,0.0
82,2,154215.17970379285,244846.05910400834,156088.26250836672,331687.2770203166,886836.7783364845,13930.56141424573,2,2,0.0
83,2,160502.96118408995,251564.29794284588,158045.19320575226,335507.87519198726,905620.3275246754,18783.549188190846,2,2,0.0
84,2,162930.06078956497,254113.43995481083,159444.54162722427,337382.5791345747,913870.6215061748,8250.293981499486,2,2,0.0
85,2,164359.14681167796,260928.74365788823,159444.54162722427,341456.6799716899,926189.1120684803,12318.490562305575,2,2,0.0
86,2,166765.8576158119,262904.35241267993,159444.54162722427,346268.1844224637,935382.9360781799,9193.824009699441,2,2,0.0
87,2,166073.01950319455,267459.1169973556,160195.80369830222,353628.3588754047,947356.299074257,11973.362996077227,3,3,0.0
88,2,167921.22369823692,270091.1521370458,161515.412093445,359473.7956493031,959001.5835780308,11645.284503773757,3,3,0.0
89,2,171597.19318606937,271464.3625317015,162369.0446005818,363262.0606493478,968692.6609677004,9691.077389669657,3,3,0.0
90,2,173169.29198406453,273488.77248511004,163200.13492818622,368767.43562769424,978625.635025055,9932.974057354564,3,3,0.0
91,2,173169.29198406453,274820.09920421476,164401.8832541163,374258.76114878414,986650.0355911797,8024.400566124723,3,3,0.0
92,2,176003.5609566159,281886.36411887,165702.7045897656,379055.3266009062,1002647.9562661577,15997.92067497794,3,3,0.0
93,2,176003.5609566159,286024.6930017039,167985.71697457434,383947.5157346847,1013961.4866675788,11313.530401421212,3,3,0.0
94,2,180843.50914796174,289009.2055577949,167985.71697457434,388217.615082243,1026056.046762574,12094.560094995155,3,3,0.0
95,2,184837.28738954026,293217.03341489885,168475.13887358358,393824.9485122982,1040354.4081903208,14298.361427746888,3,3,0.0
96,2,186157.86257718754,296104.80511773337,169943.44635334308,401096.60657135525,1053302.7206196194,12948.31242929837,3,3,0.0
97,2,193027.52598785018,298931.19586924446,171491.33425727146,406759.6564359824,1070209.7125503486,16906.99193072923,3,3,0.0
98,2,198064.83460437428,301640.3459846851,172801.86049261736,411945.5005060477,1084452.5415877244,14242.829037375985,3,3,0.0
99,2,205406.98897471715,304679.3369569127,174096.6470014035,418097.06903816026,1102280.0419711936,17827.500383469218,3,3,0.0
100,2,212946.98970206303,310160.55218946765,175076.1187941585,424378.47538297815,1122562.1360686673,20282.09409747367,3,3,0.0
101,2,120000.0,313410.3345481877,176059.6214971854,529302.8903402565,1138772.8463856296,16210.710316962093,4,4,0.0
102,2,122009.42841019985,316801.1903885732,177368.27967515038,535658.5737960876,1151837.472270011,13064.625884381638,4,4,0.0
103,2,125132.7950038022,319710.81332111824,177368.27967515038,542260.484607154,1164472.3726072249,12634.900337213763,4,4,0.0
104,2,126501.04716628647,325158.81152244867,178363.97453365027,548233.1916749767,1178257.024897362,13784.652290137357,4,4,0.0
105,3,127490.87670630714,326716.9391458284,179074.85439611156,552027.0056948628,1185309.67594311,7052.651045747754,4,4,0.0
106,3,128569.14894453724,329618.3989715519,179583.50754481967,556106.039534027,1193877.094994936,8567.419051826042,4,4,0.0
107,3,131164.19658275202,332551.42207981634,180703.62081704175,560553.3223375544,1204972.5618171645,11095.46682222861,4,4,0.0
108,3,133917.6341851572,335410.9065080838,180959.67263513265,565183.3327294308,1215471.5460578045,10498.984240639835,4,4,0.0
109,3,134999.43616791858,335410.9065080838,182206.6381449836,567519.8993777545,1220136.8801987404,4665.334140936124,4,4,0.0
110,3,134689.1908970118,336940.0292056977,182206.6381449836,570951.4048213854,1224787.2630690783,4650.38287033806,4,4,0.0
111,3,135731.1234038593,339937.38279850315,182529.44928268084,574291.8678897105,1232489.8233747538,7702.560305675274,4,4,0.0
112,3,137471.16939814793,341562.6586202355,182993.33408240715,576886.20703023,1238913.3691310207,6423.545756266669,4,4,0.0
113,3,138407.75236399518,344020.98571125953,183504.317440168,579124.1741505528,1245057.2296659756,6143.860534955074,4,4,0.0
114,3,138407.75236399518,346817.60838766326,183949.74832035208,581845.1507475169,1251020.2598195274,5963.030153551763,4,4,0.0
115,3,141326.9193220365,348764.0071236945,184683.66330285688,587248.2012357082,1262022.7909842962,11002.531164768698,4,4,0.0
116,3,142345.49843044078,351474.02182956156,184947.03912131325,591900.2877026519,1270666.8470839676,8644.056099671416,4,4,0.0
117,3,145268.30540168178,354002.8888023472,185440.39100800102,595671.645452665,1280383.2306646951,9716.38358072748,4,4,0.0
118,3,146456.58748321352,358597.6768765577,186589.34525243848,600102.8664778499,1291746.4760900596,11363.245425364632,4,4,0.0
119,3,148081.8529361202,360416.8483414392,187012.51192684605,601733.3440277649,1297244.5572321704,5498.081142110783,4,4,0.0
120,3,149229.81515521024,362993.8947357726,187238.86905030892,603949.6480259957,1303412.2269672875,6167.669735117099,4,4,0.0
121,3,150377.38806606282,365004.6295587512,187743.34868049718,607031.1814504251,1310156.5477557364,6744.320788448704,4,4,0.0
122,3,151140.06044614819,367668.8175272692,188187.4157375802,609497.6112613992,1316493.9049723968,6337.357216660649,4,4,0.0
123,3,152947.17385186828,369509.31110153336,188700.69083337716,615860.8872807734,1327018.0630675522,10524.15809515534,4,4,0.0
124,3,154744.6840683996,370390.53076684364,189041.67689175814,620878.5429821541,1335055.4347091555,8037.371641603305,4,4,0.0
125,3,156598.88298033414,372301.5820213426,189887.87245995877,624979.5686112599,1343767.9060728955,8712.471363739976,4,4,0.0
126,3,159760.76036739798,375413.0474185765,189887.87245995877,629742.3527625715,1354804.0330085047,11036.126935609278,4,4,0.0
127,3,161687.08738878736,378626.0085193985,190598.17100950138,632163.2048954279,1363074.4718131153,8270.43880461048,4,4,0.0
128,3,162285.42841600158,380483.7268608352,190930.7587519176,638072.5461953899,1371772.4602241444,8697.98841102911,4,4,0.0
129,3,163442.12509871798,383676.0484802627,192088.9509765599,642913.7007012416,1382120.8252567821,10348.365032637925,4,4,0.0
130,3,164653.44351382222,385626.24788550945,193440.325760494,647409.4221902626,1391129.4393500881,9008.614093306083,4,4,0.0
131,3,166052.7436573396,390523.8664262262,194213.91749440608,653717.2533891761,1404507.780967148,13378.341617059743,4,4,0.0
132,3,167300.3183055995,392600.93269798293,194562.91472627735,658139.86478538,1412604.0305152398,8096.24954809174,4,4,0.0
133,3,167910.9693697555,393756.9229553177,195051.06283738435,663450.5270261398,1420169.4821885973,7565.451673357525,4,4,0.0
134,3,167628.11780895013,396855.3050841762,195530.1503010994,669574.4279538275,1429588.0011480532,9418.51895945602,4,4,0.0
135,3,168406.34000190705,398829.1833038566,196367.51558399448,676972.4037521236,1440575.4426418818,10987.441493828373,4,4,0.0
136,3,169797.99460193125,400761.60593753523,196893.69789899167,681440.0647084367,1448893.3631468948,8317.920505013077,4,4,0.0
137,3,173397.75705232084,403008.77698673797,197251.06886140807,684069.7503426822,1457727.3532431491,8833.990096254396,4,4,0.0
138,3,176692.78527501298,404796.8521512305,198066.52012188945,688375.8308719266,1467931.9884200594,10204.6351769104,4,4,0.0
139,3,179039.297622559,410504.0157716298,199000.49250739728,693112.7229551505,1481656.5288567366,13724.540436677067,4,4,0.0
140,3,178531.91046271625,412699.5515468697,199925.19441339505,698399.8386320366,1489556.4950550175,7899.966198280951,4,4,0.0
141,3,178413.6264303888,418382.2662324386,200840.29819905598,701450.6390461524,1499086.8299080357,9530.334853018281,4,4,0.0
142,3,179865.45550614086,420754.5680246967,201348.81889844735,707416.1697783968,1509385.0122076818,10298.182299645967,4,4,0.0
143,3,180555.5041766511,424411.7113126503,201888.62664149492,712654.6971871435,1519510.53931794,10125.527110258086,4,4,0.0
144,3,181936.49783213943,428015.7358071364,203153.75506853877,718265.3515711359,1531371.3402789505,11860.800961010566,4,4,0.0
145,3,183448.4181551783,428015.7358071364,203153.75506853877,724697.6439934073,1539315.5530242608,7944.212745310363,4,4,0.0
146,3,184277.51317676637,431838.336482432,203731.56596414626,729528.2370777495,1549375.652701094,10060.099676833328,4,4,0.0
147,3,188129.6427028937,431838.336482432,204670.55521794487,736342.5185539982,1560981.052957269,11605.400256174631,4,4,0.0
148,3,189495.28528633818,435222.9158055346,205590.33156365022,740308.0659772935,1570616.5986328165,9635.545675547724,4,4,0.0
149,3,190864.2776874898,437385.6692609496,205950.23248621722,745537.6583290324,1579737.837763689,9121.239130872495,4,4,0.0
150,3,192285.3891655312,440966.4215628828,206809.40594162117,749400.0548597454,1589461.2715297807,9723.433766091592,4,4,0.0
151,3,193584.56104072576,442480.9731144217,207607.66320593463,755842.9778751249,1599516.175236207,10054.9037064265,4,4,0.0
152,3,197385.1769320572,444746.577368591,208165.50839129023,762416.6124714795,1612713.8751634178,13197.699927210797,4,4,0.0
153,3,200147.19818883325,448139.6092971776,209107.90608439487,766248.125468977,1623642.8390393828,10928.963875964691,5,5,0.0
154,3,200147.19818883325,450475.2345921497,209614.6344827893,771443.2630315928,1631680.330295365,8037.491255982461,5,5,0.0
155,3,201650.20751107982,456453.3247836293,210450.6863832872,776652.8751789713,1645207.0938569675,13526.763561602485,5,5,0.0
156,3,203862.61857012843,457848.6645811502,211315.49652775383,780623.3015915356,1653650.081270568,8442.987413600433,5,5,0.0
157,4,205503.89223681096,462535.5434223048,213315.71939068654,791206.4110215014,1672561.5660713036,18911.484800735616,5,5,0.0
158,4,211211.98503119074,467090.4940433638,214948.45811235128,803925.537439133,1697176.4746260387,24614.908554735164,5,5,0.0
159,4,215917.14054411167,480312.93298603897,214948.45811235128,820957.7190825692,1732136.250725071,34959.776099032344,5,5,0.0
160,4,120000.0,492017.5678044462,217935.08339152986,935485.4861883612,1765438.1373843374,33301.88665926608,6,6,0.0
161,4,122814.77439740693,505214.2944622683,219641.10157410856,948377.7576713623,1796047.9281051462,30609.790720808793,7,7,0.0
162,4,125889.37531997744,513335.3363531054,220756.33658001304,961541.1222128902,1821522.170465986,25474.24236083994,7,7,0.0
163,4,128736.81117150355,521076.35667131405,221922.35259216488,974791.2798867954,1846526.8003217778,25004.62985579172,7,7,0.0
164,4,128059.3763981311,526596.144348474,223123.2444165135,988410.7926983703,1866189.5578614888,19662.757539711023,7,7,0.0
165,4,131332.7150155853,539249.2813934278,224883.51551972868,998257.3638326299,1893722.8757613716,27533.3178998827,7,7,0.0
166,4,131332.7150155853,553491.8761594156,224569.49382145927,1005658.7437237847,1915052.8287202448,21329.952958873087,7,7,0.0
167,4,132619.9624079727,559279.4356485748,225780.85041607605,1021796.0827178196,1939476.3311904431,24423.50247019864,7,7,0.0
168,4,134663.72472579096,565627.814578876,226854.97465419973,1033439.0675637792,1960585.581522646,21109.25033220258,7,7,0.0
169,4,137798.12268511756,573856.8131375372,229739.73556992272,1047564.5851167022,1988959.2565092798,28373.674986633872,7,7,0.0
170,4,139952.5654387355,583195.2703300624,230597.98725909038,1061905.2435658802,2015651.0665937685,26691.81008448867,7,7,0.0
171,4,142328.4465036432,589789.0168604923,231229.92257373562,1077118.6884413098,2040466.074379181,24815.007785412705,7,7,0.0
172,4,143478.7460299066,598419.3762328741,234049.39396308488,1094077.631867409,2070025.1480932746,29559.07371409376,8,8,0.0
173,4,145001.85334729275,604365.1878118914,234882.32385434303,1109919.2599769707,2094168.624990498,24143.476897223372,8,8,0.0
174,4,148545.81136083836,619951.3798408628,236133.61461641954,1127300.996545515,2131931.802363636,37763.177373137645,8,8,0.0
175,4,152312.09509551214,619951.3798408628,239301.68735472992,1145169.2102892417,2156734.3725803467,24802.570216710992,8,8,0.0
176,4,152279.46294526232,625880.1269484771,242590.01108491246,1157138.7606856537,2177888.3616643054,21153.98908395879,8,8,0.0
177,4,156438.59737309278,632690.160782992,243260.9570855604,1169461.4696750315,2201851.184916677,23962.823252371112,8,8,0.0
